indices,sentence_id,word_id,sentence,word,annotation_0,annotation_1
6276,329,6276,"Nakipagsabayan nga sa mga kandidatong pangulo , bise presidente at mga senador ang ibang partylist group na may pondo sa paramihan ng commercial o ads sa mga telebisyon , radyo at social media .",ads,ENG,ENG
6333,332,6333,mga pulis kayo napaka unprofessional bakit kayo nagbibigay ng speculation lalo na in record wala pa kayong hard evidence !,in,ENG,ENG
6364,333,6364,"ang mga kalaban ninyo sa politika , BBB Sarra , sana po kong makaupo kana pagka presedebente matulongan kaming mga mahihirap na senior citizin",citizin,ENG,ENG
6499,338,6499,"wala kami final exam sa isang subject ko , nakokonsensya tuloy ako na hindi gawin yung kaisa-isang infomercial sa subject na 'yon .",subject,ENG,ENG
6518,339,6518,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,n,FIL,FIL
6520,339,6520,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,n,FIL,FIL
6522,339,6522,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,n,FIL,FIL
6525,339,6525,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,king,FIL,FIL
6532,339,6532,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,s,FIL,FIL
6539,339,6539,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,eh,OTH,OTH
6546,339,6546,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,k,FIL,FIL
6547,339,6547,alam mo n kc n napakalas n sya Kaya king ano ano nalang ang ibebentang nyo s kanya . mga abogado mo nga eh kaparehas mung Walang alam Kaya tumigil k n,n,FIL,FIL
6551,340,6551,"Bilang pangunahing sponsor ng Universal Health Care Law , sisiguraduhin niyang mababawasan ang katiwalian sa ating sistema ng kalusugan .",ng,FIL,FIL
6572,341,6572,Abot-abot ang paghingi ng paumanhin ng pamunuan sa hindi pagpigil sa tinaguriang si Poblacion girl na pumuslit sa kanyang quarantine facility .,paumanhin,FIL,FIL
6581,341,6581,Abot-abot ang paghingi ng paumanhin ng pamunuan sa hindi pagpigil sa tinaguriang si Poblacion girl na pumuslit sa kanyang quarantine facility .,Poblacion,OTH,OTH
6650,345,6650,Hindi pa napapapirma ng bagong kontrata si Marc Pingris matapos mag-expire ang dati noong December .,mag-expire,CS,CS
6657,346,6657,Kung ganitong prinsipal magdadalawang isip ako parang walang kakampi ang mga bata,ganitong,FIL,FIL
6689,348,6689,"gandang umaga , umuwi ang wonki ko ahahaha ehem heeseung",wonki,OTH,OTH
6766,353,6766,Paano magsasama-sama sa iisang bubong ang kakaibang pamilyang ito ?,magsasama-sama,FIL,FIL
6898,361,6898,ito pa tinanong nyo eh nung candidacy pa ni Digong may pagka against na ito sa mga Duterte .,against,ENG,ENG
6909,362,6909,Sana taung mga legal wife wag tau basta basta magagalit sa pinalit ng asawa natin kasi minsan lalaki nmn talaga ang may mali kadalasan nasasabi nlng wala silang asawa o wala silng pamilya,wife,ENG,ENG
6991,366,6991,woaaa sige di na ko maaadik sa kape kaya talaga ako hirap matulog sa gabi lol kahit umaga ko sya inumin haha,lol,OTH,OTH
6997,366,6997,woaaa sige di na ko maaadik sa kape kaya talaga ako hirap matulog sa gabi lol kahit umaga ko sya inumin haha,haha,OTH,OTH
6998,367,6998,ay hindi ka nag iisa,ay,OTH,OTH
7027,369,7027,"Ayon naman kay , we love chin po sobra kaya ipagtanggol po namin siya sa mga bashers niya na Marites lang .",chin,OTH,OTH
7040,369,7040,"Ayon naman kay , we love chin po sobra kaya ipagtanggol po namin siya sa mga bashers niya na Marites lang .",Marites,FIL,FIL
7103,371,7103,Iba pang Chika : AJ Raval nagbabalik social media matapos magtanggal ng posts sa Instagram Dingdong hindi basta-basta tumatanggap ng trabaho sa labas : Safety first pa rin ng pamilya !,Instagram,OTH,OTH
7104,371,7104,Iba pang Chika : AJ Raval nagbabalik social media matapos magtanggal ng posts sa Instagram Dingdong hindi basta-basta tumatanggap ng trabaho sa labas : Safety first pa rin ng pamilya !,Dingdong,OTH,OTH
7137,373,7137,"bahala ka sa buhay mo math , baket ako pa nagaayos ng problema mo",math,ENG,ENG
7159,374,7159,"Nabanggit ng senadora na ang kinikilalang real estate business ng kanilang pamilya ay nagsimula lamang sa maliit na sand and gravel company , kayat batid niya ang potensyal ng mga maliliit na negosyo",nagsimula,FIL,FIL
7230,376,7230,Si elias ay si bro nagkathang tao dahil hindi nila nakuha ang kanilang mission noon at nawala ang rebolto ni bro sa simbahan kaya nagkathang tao sya yun ang kanyang mission para masubaybayan nya si mira,bro,ENG,ENG
7240,376,7240,Si elias ay si bro nagkathang tao dahil hindi nila nakuha ang kanilang mission noon at nawala ang rebolto ni bro sa simbahan kaya nagkathang tao sya yun ang kanyang mission para masubaybayan nya si mira,mission,ENG,ENG
7294,380,7294,kakaumay pati naman ako ay nadamay sa mga kaulagaan ni tita delot e kakaumayy,e,OTH,OTH
7357,381,7357,Una umanong kinabahan ang bilang mangingisda na nag - akalang sisitahin at huhulihin sila ng mga tauhan ng PCG Gayunman ay napalitan ng ngiti ang pagtataka ang mga mangingisda at residente nang abutan sila ng grocery at P100 ng mga tauhan ng PCG Ang nabanggit na inisyatibo ng PCG ay naging matagumpay sa pakikipagtulungan ng 907th PCG Auxiliary ( PCGA ) Flotilla Squadron .,Flotilla,OTH,OTH
7369,383,7369,Pero over all kahit maliit lang ang venue ng bahay ninyo naging maganda ang outcome ng wedding .,over,ENG,ENG
7370,383,7370,Pero over all kahit maliit lang ang venue ng bahay ninyo naging maganda ang outcome ng wedding .,all,ENG,ENG
7375,383,7375,Pero over all kahit maliit lang ang venue ng bahay ninyo naging maganda ang outcome ng wedding .,venue,ENG,ENG
7382,383,7382,Pero over all kahit maliit lang ang venue ng bahay ninyo naging maganda ang outcome ng wedding .,outcome,ENG,ENG
7384,383,7384,Pero over all kahit maliit lang ang venue ng bahay ninyo naging maganda ang outcome ng wedding .,wedding,ENG,ENG
7396,384,7396,"Nakalikom si Gomez ng two points , kasalo niya sa No .",No,ENG,ENG
7449,390,7449,Mga Marcos jan nkapagpagawa ba ng KHit Isang condominiums man Lang sa mga mahihirap ?,condominiums,ENG,ENG
7459,391,7459,"Ayaw mo ng broken family , ayaw mong lumaki ang mga anak mo na walang ama .",broken,ENG,ENG
7460,391,7460,"Ayaw mo ng broken family , ayaw mong lumaki ang mga anak mo na walang ama .",family,ENG,ENG
7481,392,7481,Yung ginawa pa akong judge ng dance bago ipost sa tiktok,ipost,CS,CS
7485,393,7485,At opposition talaga ako sa mga taong ang kakapal ng mukha tumakbo wala namang ginawa kundi maging pulpulitiko .,opposition,ENG,ENG
7517,394,7517,Inamin ni Health Undersecretary Rosario Vergeire na matumal pa rin ang aplikante para sa health workers sa ilalim ng emergency hiring program ng Department of Health ( DOH ) para tugunan ang kakapusan sa frontliners sa panahon ng pandemya .,health,ENG,ENG
7518,394,7518,Inamin ni Health Undersecretary Rosario Vergeire na matumal pa rin ang aplikante para sa health workers sa ilalim ng emergency hiring program ng Department of Health ( DOH ) para tugunan ang kakapusan sa frontliners sa panahon ng pandemya .,workers,ENG,ENG
7663,398,7663,BBmSARA sure na pagbangon ng Pilipinas .,Pilipinas,OTH,OTH
7734,401,7734,"isa lang ang masasabi ko , tangina mo hanz",hanz,OTH,OTH
7770,404,7770,"Lars Ubaldo noong 20 Hulyo 2017: Sina Therese Vilog , isang bagonggradweyt ng Pilosopiya mula sa UP Diliman at Javier Nimer nagradweyt ng accounting ng Pamantasan ng Lungsod ng Maynila .",Sina,FIL,FIL
7771,404,7771,"Lars Ubaldo noong 20 Hulyo 2017: Sina Therese Vilog , isang bagonggradweyt ng Pilosopiya mula sa UP Diliman at Javier Nimer nagradweyt ng accounting ng Pamantasan ng Lungsod ng Maynila .",Therese,OTH,OTH
7772,404,7772,"Lars Ubaldo noong 20 Hulyo 2017: Sina Therese Vilog , isang bagonggradweyt ng Pilosopiya mula sa UP Diliman at Javier Nimer nagradweyt ng accounting ng Pamantasan ng Lungsod ng Maynila .",Vilog,OTH,OTH
7775,404,7775,"Lars Ubaldo noong 20 Hulyo 2017: Sina Therese Vilog , isang bagonggradweyt ng Pilosopiya mula sa UP Diliman at Javier Nimer nagradweyt ng accounting ng Pamantasan ng Lungsod ng Maynila .",bagonggradweyt,FIL,FIL
7785,404,7785,"Lars Ubaldo noong 20 Hulyo 2017: Sina Therese Vilog , isang bagonggradweyt ng Pilosopiya mula sa UP Diliman at Javier Nimer nagradweyt ng accounting ng Pamantasan ng Lungsod ng Maynila .",nagradweyt,FIL,FIL
7812,405,7812,Matatandaang umabot na sa danger level o nasa 21 . 9 meters ang water level ng Marikina River bandang 9:37 Huwebes ng umaga .,River,ENG,ENG
7823,406,7823,"Kuwento ng anak ni Bossing Vic Sotto , isa siyang masamang tao noong teenager pa lamang siya at maraming pagkakataon daw na maaari siyang mamatay dahil sa mga pinaggagawa niya .",Bossing,OTH,OTH
7875,409,7875,Sana buwagin na ni BBM tong mga salot na to wag pagkakitaan ang simbahan mga hudyo !,BBM,OTH,OTH
7901,410,7901,akala ko talaga ang tahimik lang natin kanina hahahaha ang konti lang natin eh .,eh,OTH,OTH
7962,413,7962,"Taong 1456 , makalipas ang tatlumput limang taon , muling pinabuksan ng Santo Papa ang kaso ng Maid of Orleans at nabaligtad nga ang sentensiya sa kanya sa pagsasad na ito ay tainted by fraud , calumny , iniquity , contradiction , and manifests errors of fact and of law .",tainted,ENG,ENG
7963,413,7963,"Taong 1456 , makalipas ang tatlumput limang taon , muling pinabuksan ng Santo Papa ang kaso ng Maid of Orleans at nabaligtad nga ang sentensiya sa kanya sa pagsasad na ito ay tainted by fraud , calumny , iniquity , contradiction , and manifests errors of fact and of law .",by,ENG,ENG
7964,413,7964,"Taong 1456 , makalipas ang tatlumput limang taon , muling pinabuksan ng Santo Papa ang kaso ng Maid of Orleans at nabaligtad nga ang sentensiya sa kanya sa pagsasad na ito ay tainted by fraud , calumny , iniquity , contradiction , and manifests errors of fact and of law .",fraud,ENG,ENG
8005,414,8005,Nagpatawag ng biglaang press conference ang PBA kahapon para basagin ang balitang may go-signal na si Kiefer na maglaro sa Shiga Lakestars pagkatapos ng Philippine Cup .,Philippine,OTH,OTH
8053,417,8053,"Gogogo Bongbong Marcos , sana ikaw na ang sumunod sa yapak ni pangulong Duterte , kc ang mga Marcos nmn tlaga ang my tunay na my malasakit sa mga Pilipino , siniraan lng ng mga Aquino ang pangalan ng mga Marcos , dhil sa inggit nila sa mga Marcos .",Gogogo,OTH,OTH
8130,420,8130,"Gayunman , aminado itong hindi natupad ang physical distancing dahil sa dami ng mga lumikas .",physical,ENG,ENG
8131,420,8131,"Gayunman , aminado itong hindi natupad ang physical distancing dahil sa dami ng mga lumikas .",distancing,ENG,ENG
8193,424,8193,Parang maituturing na malasakit na rin sa kapwa ang hindi pagboto sa iyo mamshiee,mamshiee,OTH,OTH
8211,425,8211,Pumalo na sa 507 . 91 milyon ang bilang ng kumpirmadong kaso ng COVID-19 sa buong mundo .,.,OTH,OTH
8220,426,8220,At kaya siguro ilang buwan ding sasabak sa lock-in taping ang programa ay dahil dire-diretso na ito hanggang sa katapusan .,lock-in,ENG,ENG
8221,426,8221,At kaya siguro ilang buwan ding sasabak sa lock-in taping ang programa ay dahil dire-diretso na ito hanggang sa katapusan .,taping,ENG,ENG
8268,429,8268,"Ikinumpara ng ibang netizen ang sitwasyon ng mga Pilipinong stranded sa Rizal Memorial Stadium na sabik umuwi sa kani-kanilang probinsya , habang sina Sarah at Mattero raw ay pa-honeymoon-honeymoon lang at may leisure travel getaway .",netizen,ENG,ENG
8306,430,8306,Ibinahagi niya ito sa kanyang Instagram Stories ang mga larawan na tinamo sa loob ng bahay niya .,Instagram,ENG,ENG
8307,430,8307,Ibinahagi niya ito sa kanyang Instagram Stories ang mga larawan na tinamo sa loob ng bahay niya .,Stories,ENG,ENG
8350,432,8350,Parang naloloko na Tayo ng Host ah,ah,OTH,OTH
8410,436,8410,Dito kinuha ni janin ang kinanta nya sa tawag ng tanghalan,janin,OTH,OTH
8460,438,8460,Tanging ang Tanduay Rhum Masters lang ang walang talo dahil sa dating manlalaro ng La Salle na ngayon ay coach nila na si Cholo Villanueva .,coach,ENG,ENG
8495,440,8495,"Sana umuwi nalang siya para makasama pa niya pamilya niya , at least kahit ganon nakakasama niya mga anak mo pamilya niya",at,ENG,ENG
8496,440,8496,"Sana umuwi nalang siya para makasama pa niya pamilya niya , at least kahit ganon nakakasama niya mga anak mo pamilya niya",least,ENG,ENG
8515,441,8515,Si choox pinili yang pasayahin ang mga tao si bulldog naka fucos sa pera kay nag stay parin ako kay choox,bulldog,ENG,ENG
8517,441,8517,Si choox pinili yang pasayahin ang mga tao si bulldog naka fucos sa pera kay nag stay parin ako kay choox,fucos,ENG,ENG
8526,441,8526,Si choox pinili yang pasayahin ang mga tao si bulldog naka fucos sa pera kay nag stay parin ako kay choox,choox,OTH,OTH
8609,446,8609,"never kong naisip na sayang yung panahon o oras ko sayo , masyado akong masaya nung mga panahong yun",sayang,FIL,FIL
8731,452,8731,"Sa parehong panayam sinabi ng SOCO anchor , na nasanay na siya sa mga patayang nakikita tuwing siyay nagko-cover .",nagko-cover,CS,CS
8733,453,8733,start na ang content HAHAHAHA,start,ENG,ENG
8743,454,8743,Tahimik sila kasi di nila gets ang issue dun kasi sila maingay at magaling sa pangungutya kay VP Leni .,gets,ENG,ENG
8745,454,8745,Tahimik sila kasi di nila gets ang issue dun kasi sila maingay at magaling sa pangungutya kay VP Leni .,issue,ENG,ENG
8873,458,8873,"Ikinagulantang at ikinatuwa ng mga netizen ang paglabas ng mga bagong kalendaryo ng White Castle Whisky nitong Enero 14 , 2022 , dahil game-changer ang model nitowalang iba kundi ang internet sensation na si Sassa Gurl !",Gurl,ENG,ENG
8893,459,8893,At ang pinaka-latest nga rito ay ang pagiging certified fan ng bagets ng sikat na sikat na K-Pop group na BTS .,group,ENG,ENG
8963,463,8963,Hi po mama anne bed pad po ang tawag doon sa pang sapin sa mattress .,mama,FIL,FIL
8978,464,8978,Yung bet ko ng mas matanda sakin pero mga bagets yung nag kakagusto sakin mga be engk ako sa kiddie meal,bet,ENG,ENG
8993,464,8993,Yung bet ko ng mas matanda sakin pero mga bagets yung nag kakagusto sakin mga be engk ako sa kiddie meal,engk,OTH,OTH
9008,465,9008,"Richard Chavez ng Trece Martires City Police Station , dakong alas-3:15 ng madaling-araw nang maganap ang insidente kung saan sakay ang mga biktima ng Honda Wave 100 patungo sa direksiyon ng Tanza galing sa Indang , habang ang suspek ay papunta sa direksiyon ng Naic galing Gen Trias City .",alas-3:15,OTH,OTH
9022,465,9022,"Richard Chavez ng Trece Martires City Police Station , dakong alas-3:15 ng madaling-araw nang maganap ang insidente kung saan sakay ang mga biktima ng Honda Wave 100 patungo sa direksiyon ng Tanza galing sa Indang , habang ang suspek ay papunta sa direksiyon ng Naic galing Gen Trias City .",Honda,OTH,OTH
9023,465,9023,"Richard Chavez ng Trece Martires City Police Station , dakong alas-3:15 ng madaling-araw nang maganap ang insidente kung saan sakay ang mga biktima ng Honda Wave 100 patungo sa direksiyon ng Tanza galing sa Indang , habang ang suspek ay papunta sa direksiyon ng Naic galing Gen Trias City .",Wave,OTH,OTH
9029,465,9029,"Richard Chavez ng Trece Martires City Police Station , dakong alas-3:15 ng madaling-araw nang maganap ang insidente kung saan sakay ang mga biktima ng Honda Wave 100 patungo sa direksiyon ng Tanza galing sa Indang , habang ang suspek ay papunta sa direksiyon ng Naic galing Gen Trias City .",Tanza,OTH,OTH
9032,465,9032,"Richard Chavez ng Trece Martires City Police Station , dakong alas-3:15 ng madaling-araw nang maganap ang insidente kung saan sakay ang mga biktima ng Honda Wave 100 patungo sa direksiyon ng Tanza galing sa Indang , habang ang suspek ay papunta sa direksiyon ng Naic galing Gen Trias City .",Indang,OTH,OTH
9042,465,9042,"Richard Chavez ng Trece Martires City Police Station , dakong alas-3:15 ng madaling-araw nang maganap ang insidente kung saan sakay ang mga biktima ng Honda Wave 100 patungo sa direksiyon ng Tanza galing sa Indang , habang ang suspek ay papunta sa direksiyon ng Naic galing Gen Trias City .",Naic,OTH,OTH
9055,466,9055,"Sino ba tumapak sa pagkatao nyo , Ser , at nanguna kayong bumanat ?",Ser,FIL,FIL
9067,467,9067,salamat sa inyong lahat sana'y okay ka ika'y mahalaga,okay,ENG,ENG
9115,471,9115,"Kakanood ng vids mo sir Dti di ako maka angat ng 1300mmr , ngayon 1 . 6k+ mmr n ko 12slp per win at d n ko nbaba ng 1 . 5k .",sir,ENG,ENG
9116,471,9116,"Kakanood ng vids mo sir Dti di ako maka angat ng 1300mmr , ngayon 1 . 6k+ mmr n ko 12slp per win at d n ko nbaba ng 1 . 5k .",Dti,OTH,OTH
9129,471,9129,"Kakanood ng vids mo sir Dti di ako maka angat ng 1300mmr , ngayon 1 . 6k+ mmr n ko 12slp per win at d n ko nbaba ng 1 . 5k .",n,FIL,FIL
9189,474,9189,Mga Bobo at tanga nalang Ang Bobo to kina leni lugaw ka isko pacyaw at lason hwag pauto sa mga pulpulitiko bbm for president,lason,FIL,FIL
9190,474,9190,Mga Bobo at tanga nalang Ang Bobo to kina leni lugaw ka isko pacyaw at lason hwag pauto sa mga pulpulitiko bbm for president,hwag,FIL,FIL
9194,474,9194,Mga Bobo at tanga nalang Ang Bobo to kina leni lugaw ka isko pacyaw at lason hwag pauto sa mga pulpulitiko bbm for president,pulpulitiko,FIL,FIL
9282,479,9282,"Ang mga ibon at hayop , mga puno , kagubatan , kabundukan , mga ilog , ang lahat ng bagay sa ibabaw ng lupa ay nasa pangangalaga ng mga taoibig sabihin , nina Adan at Eva samantalang sinunod nina Adan at Eva ang arkanghel .",nina,FIL,FIL
9318,482,9318,"Kasunod ng biglaang postponement ng Miss World Philippines pageant , idinaan na lang ng organizer sa botohan ng 45 candidates ang pagpili ng kinatawan ng bansa sa Miss Supranational sa Poland .",Philippines,OTH,OTH
9339,482,9339,"Kasunod ng biglaang postponement ng Miss World Philippines pageant , idinaan na lang ng organizer sa botohan ng 45 candidates ang pagpili ng kinatawan ng bansa sa Miss Supranational sa Poland .",Supranational,ENG,ENG
9374,484,9374,Ang Bayan ng Kapalong ay isang unang klaseng .,Kapalong,OTH,OTH
9384,485,9384,hahahaa jusmio kung ito yong dadami na ano pa ang pinas,yong,FIL,FIL
9439,488,9439,So sana mapili sa phone giveaway niyo sir vince mahilig po kasi siya manood ng vids sa YT .,phone,ENG,ENG
9440,488,9440,So sana mapili sa phone giveaway niyo sir vince mahilig po kasi siya manood ng vids sa YT .,giveaway,ENG,ENG
9443,488,9443,So sana mapili sa phone giveaway niyo sir vince mahilig po kasi siya manood ng vids sa YT .,vince,OTH,OTH
9450,488,9450,So sana mapili sa phone giveaway niyo sir vince mahilig po kasi siya manood ng vids sa YT .,vids,ENG,ENG
9452,488,9452,So sana mapili sa phone giveaway niyo sir vince mahilig po kasi siya manood ng vids sa YT .,YT,OTH,OTH
9507,491,9507,Pwede kya jan ang mga pencil n pangdrwing hehe,pencil,ENG,ENG
9510,491,9510,Pwede kya jan ang mga pencil n pangdrwing hehe,hehe,OTH,OTH
9520,493,9520,"Inilagay sa full alert status ang lahat 24 , 000 pulis sa Metro Manila ngayon Semana Santa .",full,ENG,ENG
9530,493,9530,"Inilagay sa full alert status ang lahat 24 , 000 pulis sa Metro Manila ngayon Semana Santa .",Metro,OTH,OTH
9531,493,9531,"Inilagay sa full alert status ang lahat 24 , 000 pulis sa Metro Manila ngayon Semana Santa .",Manila,OTH,OTH
9533,493,9533,"Inilagay sa full alert status ang lahat 24 , 000 pulis sa Metro Manila ngayon Semana Santa .",Semana,FIL,FIL
9534,493,9534,"Inilagay sa full alert status ang lahat 24 , 000 pulis sa Metro Manila ngayon Semana Santa .",Santa,FIL,FIL
9548,494,9548,Nakabalik na sa studio ang mga TV host matapos ang ilang linggong pagse-self quarantine sa kani-kanilang tahanan .,pagse-self,CS,CS
9565,496,9565,Hoy mga bbw itigil niyo yan sa tiktok pa talaga kayo nagkalat grabe na uy,Hoy,OTH,OTH
9587,497,9587,This is what I've been waiting for kuys mag mula ng kantahin mo to sa isa sa mga blog mo na title weder lss talaga ako dito ehh,kuys,FIL,FIL
9616,499,9616,Hello po mag ask po ako sa inyo ng help para po magkaroon ng laptop para sa aking pag-aaral .,Hello,ENG,ENG
9619,499,9619,Hello po mag ask po ako sa inyo ng help para po magkaroon ng laptop para sa aking pag-aaral .,ask,ENG,ENG
9625,499,9625,Hello po mag ask po ako sa inyo ng help para po magkaroon ng laptop para sa aking pag-aaral .,help,ENG,ENG
